         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO22032          17.1387500+58.26361111 5.79B8+0.007-0.005
78 Psc            17.0054166+32.01222222 6.25F5+0.204-0.030
79Psi2Psc         16.9883333+20.73916666 5.55A3+0.087-0.094
30 Cet            16.9425000 -9.78555555 5.82F7+0.152+0.017
80 Psc            17.0925000 +5.64972222 5.52F0-0.264-0.185
Ups Phe           16.9495833-41.48694444 5.21A3+0.038+0.010
Iot Tuc           16.8279166-61.77527777 5.37G5+0.073-0.012
SAO4341           18.0695833+79.67388888 5.64A3+0.091-0.005
31Eta Cet         17.1475000-10.18222222 3.45K1+0.218-0.138
42Phi And         17.3758333+47.24194444 4.25B7+0.010-0.009
31 Cas            17.6637500+68.77861111 5.29A0+0.036-0.031
43Bet And         17.4329166+35.62055555 2.06M0+0.178-0.114
Zet Phe           17.0962500-55.24583333 3.92B6+0.019+0.025
81Psi3Psc         17.4550000+19.65861111 5.55G0-0.006+0.009
44 And            17.5783333+42.08138888 5.65F8-0.133-0.043
SAO74530          17.5808333+25.45777777 5.80K7 0.000-0.114
SAO11615          17.8566666+64.20277777 5.55B9+0.040-0.013
33The Cas         17.7758333+55.14972222 4.33A7+0.229-0.022
SAO92288          17.5479166+15.67416666 6.06M0+0.031-0.021
32 Cas            17.9225000+65.01888888 5.57B9+0.023-0.016
32 Cet            17.5500000 -8.90611111 6.40K0-0.013-0.036
33 Cet            17.6400000 +2.44555555 5.95K4 0.000-0.015
45 And            17.7929166+37.72416666 5.81B7-0.012-0.007
82 Psc            17.7783333+31.42472222 5.16F0-0.011-0.014
SAO32324          17.5308333-57.69444444 6.41G6-0.006-0.121
84Chi Psc         17.8633333+21.03472222 4.66G8+0.038-0.011
83Tau Psc         17.9150000+30.08972222 4.51K0+0.072-0.035
34 Cet            17.9312500 -2.25111111 5.94K4-0.062-0.026
SAO11637          18.2912500+61.70583333 6.41B9+0.033-0.021
SAO37023          18.1416666+45.33777777 6.11M1+0.021+0.026
SAO74561          18.2479166+30.06416666 6.19G9+0.020-0.034
SAO4354           19.1279166+79.91000000 6.26F5-0.055+0.059
SAO92977          18.0975000-30.80222222 6.52F7+0.061-0.077
SAO92980          18.1891666-37.85638888 5.92F0+0.090-0.034
85Phi Psc         18.4370833+24.58361111 4.65K0+0.017-0.023
86Zet Psc         18.4329166 +7.57527777 5.24A7+0.144-0.056
86Zet Psc         18.4387500 +7.57833333 6.30F7+0.147-0.052
SAO74576          18.5208333+28.52972222 6.43S3+0.079-0.049
87 Psc            18.5316666+16.13361111 5.98B8-0.027-0.026
SAO4358           19.0504166+71.74388888 7.83K1+0.006+0.004
37 Cet            18.6000000 -7.92305555 5.13F5+0.127+0.273
88 Psc            18.6766666 +6.99527777 6.03G6-0.011-0.024
38 Cet            18.7050000 -0.97388888 5.70F5-0.012+0.201
SAO37067          19.1020833+48.08222222 6.61B9+0.010+0.001
Nu Phe            18.7962500-45.53138888 4.96F8+0.669+0.183
SAO54567          19.0783333+33.11472222 6.02K1+0.016-0.033
SAO37077          19.2712500+44.90194444 6.34K5+0.014-0.045
39 Cet            19.1512500 -2.50027777 5.41G5-0.104-0.063
SAO54580          19.3504166+31.74472222 6.73K0-0.052+0.003
SAO4376           20.0812500+77.57055555 6.31G5-0.018+0.086
SAO37096          19.5425000+47.41972222 6.25K0+0.018-0.002
Kap Tuc           18.9420833-68.87611111 4.86F6+0.399+0.107
89 Psc            19.4500000 +3.61444444 5.16A3-0.046-0.025
SAO54592          19.6958333+37.38611111 6.46A5-0.011-0.014
SAO48350          19.2650000-66.39805555 6.24A0+0.044+0.002
SAO4387           20.4962500+76.23888888 6.38F0+0.063-0.032
34Phi Cas         20.0204166+58.23166666 4.98F0 0.000-0.002
90Ups Psc         19.8666666+27.26416666 4.76A3+0.025-0.013
35 Cas            20.2716666+64.65833333 6.34A2+0.057-0.019
42 Cet            19.9512500 -0.50888888 5.87G8+0.012-0.014
SAO4391           20.9450000+78.72583333 6.07A0-0.009-0.003
SAO29239          20.1437500 -3.24694444 6.23K1-0.013+0.006
